timestamp,worker,latency,queue_length,arrival_rate,service_rate,workers
1782990848.6372252,localhost:50060,6.563622302026488,3,0,0,1
1782990848.6380262,localhost:50060,6.034226289018989,2,0,0,1
1782990848.653607,localhost:50060,5.541478420025669,1,0,0,1
